19:18:44.539 | INFO     | setup_tracer              | === OCR TRACING STARTED ===
19:18:44.539 | DEBUG    | trace                     | [extract_fields_from_crops] STARTED
19:18:44.542 | DEBUG    | trace_var                 | [extract_fields_from_crops] front_crops_keys: len=4 | value=['name', 'address', 'id_number', 'birth_date']
19:18:44.542 | DEBUG    | trace_var                 | [extract_fields_from_crops] back_crops_keys: len=7 | value=['back_id_number', 'back_issue_date', 'profession', 'gender', 'religion', 'marital_status', 'expiry_date']
19:18:44.542 | DEBUG    | trace                     | [extract_fields_from_crops] Processing front side fields
19:18:44.544 | DEBUG    | trace                     | [_best_lines_for_text] STARTED
19:18:44.572 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_0_shape: len=3 | value=(419, 1777, 3)
19:19:01.589 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_0_lines: len=5 | value=[{'text': '13', 'score': 0.2948991060256958, 'box': [[445, 64], [746, 61], [748, 319], [448, 322]]}, {'text': 'يويي', 'score': 0.3660505414009094, 'box': [[962, 66], [1088, 68], [1082, 419], [955, 419
19:19:01.590 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_0_score: 9.618333518505096
19:19:01.590 | DEBUG    | trace                     | [_best_lines_for_text] New best variant 0
19:19:01.591 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_1_shape: len=3 | value=(419, 1777, 3)
19:19:08.455 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_1_lines: len=5 | value=[{'text': '13', 'score': 0.35701608657836914, 'box': [[444, 56], [749, 59], [747, 321], [441, 318]]}, {'text': 'مـييي', 'score': 0.3844403028488159, 'box': [[960, 64], [1089, 64], [1089, 419], [960, 4
19:19:08.456 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_1_score: 12.587291330099106
19:19:08.457 | DEBUG    | trace                     | [_best_lines_for_text] New best variant 1
19:19:08.457 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_2_shape: len=3 | value=(419, 1777, 3)
19:19:15.131 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_2_lines: len=6 | value=[{'text': '0b', 'score': 0.6281289458274841, 'box': [[1334, 25], [1431, 23], [1434, 178], [1337, 180]]}, {'text': '13', 'score': 0.4215013384819031, 'box': [[443, 59], [748, 59], [748, 320], [443, 320
19:19:15.133 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_2_score: 13.24719899892807
19:19:15.134 | DEBUG    | trace                     | [_best_lines_for_text] New best variant 2
19:19:15.135 | DEBUG    | trace_var                 | [_best_lines_for_text] variant_3_shape: len=3 | value=(419, 1777, 3)
